id,name,price,image,category,quantity,source,productUrl
2691,"Naturbaked Super Protein Bread (56g protein, Zero Maida / Whole Wheat Bread)",₹78,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982749/blinkit_store/bfzjzxkinms3is1katzo.webp,bread,300 g,Blinkit,https://blinkit.com/
2692,The Health Factory Zero Maida Sourdough Classic Wheat Bread,₹99,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982750/blinkit_store/ngn2vanzopil2fjjt7rb.webp,bread,330 g,Blinkit,https://blinkit.com/
2693,Naturbaked Superseed Multigrain Bread (Zero Maida),₹65,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982752/blinkit_store/zs9u4j2udkupi36mdq9w.webp,bread,300 g,Blinkit,https://blinkit.com/
2694,The Health Factory Olive & Rosemary Sourdough,₹138,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982753/blinkit_store/geeablv88qistdyn13rv.webp,bread,330 g,Blinkit,https://blinkit.com/
2695,The Health Factory Super Protein Bread,₹80,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982755/blinkit_store/ssudwewx3wqqqjl3iwpj.webp,bread,250 g,Blinkit,https://blinkit.com/
2696,The Health Factory Zero Maida Atta Bread (Wheat Bread),₹60,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982757/blinkit_store/bybudexx3fzrnm1it3me.webp,bread,350 g,Blinkit,https://blinkit.com/
2697,"The Baker’s Dozen Zero Maida Banana Cake, Whole Wheat",₹175,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982758/blinkit_store/oukhgb92qwdmndvk7gkw.webp,bread,150 g,Blinkit,https://blinkit.com/
2698,Wingreens Farms Multigrain Baked Flat Bread Sticks,₹128,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982760/blinkit_store/domev95gkidmedwowtze.webp,bread,100 g,Blinkit,https://blinkit.com/
2699,Awsum Better Bakes Banana Bread,₹109,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982762/blinkit_store/rlag7u39lmi5nrulfuwz.webp,bread,150 g,Blinkit,https://blinkit.com/
2700,Baker's Loaf 21 Grains Sourdough Bread,₹108,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982764/blinkit_store/ivhqnd3ctiwfdsa5w5xb.webp,bread,350 g,Blinkit,https://blinkit.com/
2701,Bonn Sesame Burger Bun Bread,₹38,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982765/blinkit_store/fb0hbtl9ktpfcbg6nps4.webp,bread,225 g,Blinkit,https://blinkit.com/
2702,"The Baker's Dozen Zero Maida Pizza Base Sourdough Bread, Whole Wheat",₹89,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982767/blinkit_store/g0adpqsorca94frhcvfw.webp,bread,140 g,Blinkit,https://blinkit.com/
2703,Bonn Extra Soft Pav Bread,₹38,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982769/blinkit_store/le6tyngexx5cuqbbkhnd.webp,bread,250 g,Blinkit,https://blinkit.com/
2704,Bonn Kulcha Bread,₹48,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982770/blinkit_store/jznb0u6jrwuww6xpwspm.webp,bread,250 g,Blinkit,https://blinkit.com/
2705,Oasis Baklawa Bread Sticks,₹125,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982772/blinkit_store/gzcatijnycyfwglwzzrw.webp,bread,100 g,Blinkit,https://blinkit.com/
2706,The Baker's Dozen Grissini Baked Chilli Garlic Bread Sticks,₹129,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982774/blinkit_store/sxryenvxn4jpc2npef73.webp,bread,100 g,Blinkit,https://blinkit.com/
2707,American Garden Plain Bread Crumbs,₹345,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982776/blinkit_store/pvrmfhxbdxilve0jqntn.webp,bread,425 g,Blinkit,https://blinkit.com/
2724,Too Yumm Grilled Cheese & Chilli Protein Healthy Chips,₹49,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982778/blinkit_store/kdwmrljcjoytkrcnap77.webp,chips,60 g,Blinkit,https://blinkit.com/
2725,Uncle Chipps Spicy Treat Flavour Potato Chips,₹20,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982779/blinkit_store/t40wnjcgxixcl0kip6pg.webp,chips,53 g,Blinkit,https://blinkit.com/
2726,Lay's India's Magic Masala Potato Chips,₹25,https://res.cloudinary.com/dxxcxqdsj/image/upload/v1778982781/blinkit_store/jsl5cy6uxkgnwt0i8tmc.webp,chips,58 g,Blinkit,https://blinkit.com/
